full path, filename, sheet, processed result, checked result
./test objects/01sumdat_NO2.xls, 01sumdat_NO2.xls, NO2, Junk
./test objects/020cd58e-de1b-447d-890e-a89e20deaf9f.xls has error.
./test objects/063f3da1-97fc-484d-ab3c-346b8c4e70ae.xls, 063f3da1-97fc-484d-ab3c-346b8c4e70ae.xls, Junior Women, Junk
./test objects/190e7880-38d1-4389-8b8e-8cab33c1ed94.xls, 190e7880-38d1-4389-8b8e-8cab33c1ed94.xls, Sheet1, Junk
./test objects/1c3f56f7-8b9a-4e00-82dd-38742babadcf.xls, 1c3f56f7-8b9a-4e00-82dd-38742babadcf.xls, Data, Useful
./test objects/1c3f56f7-8b9a-4e00-82dd-38742babadcf.xls, 1c3f56f7-8b9a-4e00-82dd-38742babadcf.xls, Metadata - Countries, Junk
./test objects/1c3f56f7-8b9a-4e00-82dd-38742babadcf.xls, 1c3f56f7-8b9a-4e00-82dd-38742babadcf.xls, Metadata - Indicators, Junk
./test objects/20030114144840!Superi#A7DEA_General Rev 3 .xls, 20030114144840!Superi#A7DEA_General Rev 3 .xls, General Rev 3 , Useful
./test objects/20889ab9-e837-4d23-897b-25809bdacf71.xls, 20889ab9-e837-4d23-897b-25809bdacf71.xls, Sheet1, Junk
./test objects/2513a866-d0af-4b19-b036-7b016a96e6f5.xls, 2513a866-d0af-4b19-b036-7b016a96e6f5.xls, Data, Useful
./test objects/2513a866-d0af-4b19-b036-7b016a96e6f5.xls, 2513a866-d0af-4b19-b036-7b016a96e6f5.xls, Metadata - Countries, Junk
./test objects/2513a866-d0af-4b19-b036-7b016a96e6f5.xls, 2513a866-d0af-4b19-b036-7b016a96e6f5.xls, Metadata - Indicators, Junk
./test objects/26e05f78-53cc-436e-9677-af8579301695.xls, 26e05f78-53cc-436e-9677-af8579301695.xls, Kloeckner  CO SE NA, Useful
./test objects/613d4d5b-84f7-41b6-97b3-1aaab9def13b.xls has error.
./test objects/621a8a1f-c9ba-44f2-8c77-4ff9a50f0597.xls, 621a8a1f-c9ba-44f2-8c77-4ff9a50f0597.xls, Elite Women, Junk
./test objects/68a0a023-5408-4227-a4f2-557665b59512.xls, 68a0a023-5408-4227-a4f2-557665b59512.xls, analytica 2012, Junk
./test objects/6d79bd25-3561-4c5e-94c7-e695ccf731c7.xls, 6d79bd25-3561-4c5e-94c7-e695ccf731c7.xls, 50-54 Female AG, Junk
./test objects/7d97910c-afb1-485d-85a3-11ad5a507809.xls, 7d97910c-afb1-485d-85a3-11ad5a507809.xls, 75-79 Male AG Sprint, Junk
./test objects/8f823b0e-38d2-449a-8623-e05ce414d0f9.xls has error.
./test objects/AR06-LD010.xls, AR06-LD010.xls, South Asia, Useful
./test objects/AR06-LD020.xls, AR06-LD020.xls, Cumulative Lending, Useful
./test objects/Annexe_20IV_2Cycle_20FNUD_20Budget_20de_20Projet_UN_20EXE_FR.xls, Annexe_20IV_2Cycle_20FNUD_20Budget_20de_20Projet_UN_20EXE_FR.xls, UNDEF Project Budget, Junk
./test objects/Average Selling Price Analysis.xls, Average Selling Price Analysis.xls, JaxWorks, Junk
./test objects/Average Selling Price Analysis.xls, Average Selling Price Analysis.xls, Average Selling Price Analysis, Useful
./test objects/Balance Sheet.xls, Balance Sheet.xls, JaxWorks, Junk
./test objects/Balance Sheet.xls, Balance Sheet.xls, Balance Sheet, Junk
./test objects/Break-Even CIA.xls, Break-Even CIA.xls, JaxWorks, Junk
./test objects/Break-Even CIA.xls, Break-Even CIA.xls, Break_Even CIA, Useful
./test objects/CSC%20101%20Computer%#A7FA0.xls, CSC%20101%20Computer%#A7FA0.xls, Grades CIS677-104, Junk
./test objects/CSC%20101%20Computer%#A7FA0.xls, CSC%20101%20Computer%#A7FA0.xls, Attendance, Useful
./test objects/CSC%20101%20Computer%#A7FA0.xls, CSC%20101%20Computer%#A7FA0.xls, Grades CSC 101, Useful
./test objects/Cash Flow Sensitivity Analysis.xls, Cash Flow Sensitivity Analysis.xls, JaxWorks, Junk
./test objects/Cash Flow Sensitivity Analysis.xls, Cash Flow Sensitivity Analysis.xls, Cash Flow Sensitivity Analysis, Useful
./test objects/Company Property Receipt.xls, Company Property Receipt.xls, JaxWorks, Junk
./test objects/Company Property Receipt.xls, Company Property Receipt.xls, Company Property Receipt, Junk
./test objects/Credit History.xls, Credit History.xls, JaxWorks, Junk
./test objects/Credit History.xls, Credit History.xls, Credit History, Junk
./test objects/DDAA_HW_C-5.4.xls, DDAA_HW_C-5.4.xls, C-5.4, Junk
./test objects/DJSI_World_Review_200#A8121.xls, DJSI_World_Review_200#A8121.xls, Adds, Junk
./test objects/EN.ATM.CO2E.PC_Indicator_MetaData_en_EXCEL.xls, EN.ATM.CO2E.PC_Indicator_MetaData_en_EXCEL.xls, Sheet1, Useful
./test objects/EN.ATM.CO2E.PC_Indicator_MetaData_en_EXCEL.xls, EN.ATM.CO2E.PC_Indicator_MetaData_en_EXCEL.xls, Sheet2, Junk
./test objects/Employee Performance Review.xls, Employee Performance Review.xls, JaxWorks, Junk
./test objects/Employee Performance Review.xls, Employee Performance Review.xls, Employee Performance Review, Junk
./test objects/FAS%20To%20Oracle%20O#A8C0F.xls, FAS%20To%20Oracle%20O#A8C0F.xls, ALL, Junk
./test objects/FinRep2000-01%20AGM2003.xls, FinRep2000-01%20AGM2003.xls, BalRep 01-00-99, Useful
./test objects/FinRep2000-01%20AGM2003.xls, FinRep2000-01%20AGM2003.xls, FinResRep 01-00-99, Useful
./test objects/FinStmtEx.xls, FinStmtEx.xls, IS, Useful
./test objects/FinStmtEx.xls, FinStmtEx.xls, BS, Useful
./test objects/FinStmtEx.xls, FinStmtEx.xls, Ratios, Useful
./test objects/FinStmtEx.xls, FinStmtEx.xls, CF, Useful
